feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
PC 34:2	776,34	1225,67	755,03	849,34	853,44	1006,35	780,10	965,05	971,05	540,26	911,50	753,94	724,07	1306,13	1470,53	496,52	970,14	793,38	1608,76	1046,70
PC 34:3	17,37	29,34	23,61	13,46	23,21	18,21	11,02	25,31	17,26	8,72	11,72	17,40	16,04	26,77	36,26	12,45	26,86	17,66	31,88	21,15
PC 34:4	1,94	4,22	2,56	0,00	3,28	1,73	0,00	2,76	0,00	0,00	0,00	1,69	1,58	2,22	5,03	1,22	3,03	4,21	4,89	1,59
PC 36:0	0,00	0,00	0,00	3,50	0,00	0,00	0,00	0,00	4,28	0,00	1,45	0,00	1,30	0,00	0,00	0,00	0,00	0,00	0,00	0,00
PC 36:1	103,12	90,19	193,65	74,49	210,32	110,29	123,38	294,16	76,24	97,03	91,39	203,74	85,52	231,38	127,70	81,62	190,53	135,87	353,34	177,83
PC 36:2	452,15	356,83	538,08	460,78	457,34	598,61	452,14	588,39	571,41	374,65	459,90	460,93	398,51	732,02	630,06	326,02	684,11	535,45	886,90	522,58
PC 36:3	281,12	712,28	366,65	255,24	379,66	270,54	246,14	395,65	285,46	237,52	270,17	262,33	309,64	450,61	680,71	194,58	334,79	326,00	683,96	336,78
PC 36:4	517,63	1112,58	539,87	571,99	615,86	466,87	327,97	587,62	375,88	397,18	502,89	423,23	437,04	694,90	820,90	378,43	625,47	842,70	1146,46	431,04
PC 36:5	38,60	49,27	38,33	40,76	41,33	32,53	24,04	52,80	32,13	17,74	28,97	32,45	30,58	54,65	88,73	30,06	47,40	39,92	70,77	29,28
PC 38:2	3,31	1,77	5,09	4,19	4,83	4,40	4,32	4,12	1,91	1,51	2,47	5,48	2,22	3,56	6,22	4,20	6,56	4,69	2,76	4,04
PC 38:3	94,51	105,01	139,98	68,06	139,00	71,47	64,88	135,67	64,19	76,71	76,43	110,35	120,03	169,29	132,30	68,32	101,54	114,31	240,87	90,22
PC 38:4	277,48	334,63	340,39	309,92	367,11	265,86	175,83	310,01	180,45	241,93	285,23	272,37	259,75	374,63	247,27	204,08	329,54	489,91	581,82	204,73
PC 38:5	149,97	264,35	183,07	166,27	221,94	171,17	102,15	221,97	112,31	133,84	175,91	136,54	129,65	229,46	206,17	119,01	204,47	266,90	302,23	151,41
PC 38:6	311,12	378,40	258,24	360,43	361,95	424,01	158,15	391,13	159,31	164,30	365,09	201,21	199,12	363,05	221,71	183,93	322,14	334,15	449,24	201,07
PC 38:7	9,39	14,96	10,39	11,21	9,42	7,84	6,97	8,35	11,80	8,49	10,36	7,52	9,15	13,10	12,08	6,78	8,96	10,53	13,12	7,20
PC 40:4	3,96	8,97	12,31	5,04	20,30	6,50	6,05	12,10	3,94	5,73	10,35	10,49	10,39	12,98	10,04	5,90	8,98	9,87	15,40	8,38
PC 40:5	29,80	34,03	49,89	29,01	66,27	42,47	23,84	62,72	20,68	34,42	40,35	41,65	35,36	61,51	34,93	26,80	51,26	56,70	67,80	35,48
PC 40:6	110,95	76,28	143,02	100,44	162,54	158,95	59,53	178,53	53,67	66,76	123,47	103,70	85,25	159,23	53,00	77,10	145,77	147,14	169,23	71,28
PC 40:7	13,84	18,23	19,95	14,49	18,12	18,50	9,14	24,50	10,59	11,79	17,22	10,70	9,28	17,46	13,30	11,56	15,62	23,65	23,16	14,24
