feature	severity	contrast	estimate	se	p_value	fdr_posthoc
SM 42:2;O2	severe	D3 - D0	-0.10549347270853286	0.030050051894994833	0.0017858679471614014	0.005357603841484204
PC 36:1	severe	D10 - D0	0.2026620659289211	0.05788938638391129	0.0018404206926702082	0.0054935170424427315
TG 51:1	mild	D10 - D0	0.2770131031124411	0.07915398301547809	0.0018530909396963224	0.005503680090898078
FA 18:3	mild	D60 - D0	-1.1964212671324466	0.3422124137264479	0.0018754758159764684	0.0055424509188558325
CAR 16:0	severe	D10 - D0	-0.7195559486445482	0.20594640173757697	0.0018852513291856	0.005543758859090329
LPC 16:0	severe	D60 - D0	0.10707265742449365	0.030743724974445334	0.001952062059857873	0.005711945140667866
SM 34:1;O2	severe	D3 - D0	-0.10456782991235661	0.030079375969751077	0.002005667204511452	0.005840030977842169
LPC 14:0	severe	D60 - D0	1.4244613853138912	0.4107604950279698	0.0020514817604344593	0.005915437697563441
PC 36:3	mild	D10 - D0	0.10833918116628319	0.03122187529537746	0.0020493007611352976	0.005915437697563441
DG 36:3	mild	D60 - D0	0.5270424030197772	0.15233034737891055	0.0021139027930010545	0.006065981927742156
PC 40:4	severe	D10 - D0	0.19387744290867556	0.05624133615727829	0.002208749165992785	0.006307677906729396
PE 38:4	severe	D60 - D0	-1.4699197332812641	0.4294954256066349	0.0023900853202203365	0.00679287406799464
PC O-32:0	severe	D10 - D0	-0.43359006626088026	0.12743740678848964	0.002564067392729852	0.0072182750297702936
DG 34:2	mild	D10 - D0	0.8148948625079783	0.23942846934299478	0.0025606863609273223	0.0072182750297702936
SM 42:3;O2	mild	D3 - D0	-0.10133466798802254	0.029827973581324142	0.002614415972778117	0.0073252975841047235
PC 32:1;O/32:0;P	severe	D10 - D0	-0.5576265335613384	0.16440898074957203	0.0026551238202185967	0.007404429808496931
PC 38:7	severe	D10 - D0	-0.13648057296069996	0.04049094302369359	0.002850735170353058	0.00791278827658746
FA 16:0	severe	D3 - D0	-0.17559020941602566	0.05211057063792867	0.0028658505312146865	0.007917745188565226
PC 34:1	severe	D3 - D0	-0.10798324083832438	0.032191000741611006	0.003012199178463737	0.008283547740775277
SM 39:1;O2	mild	D3 - D0	-0.7514725616703922	0.22532505613847204	0.003209945080387744	0.00878666994354986
SM 38:2;O2	severe	D10 - D0	-0.21682096787028218	0.06508392635355363	0.003242069041686557	0.0088172831509439
DG 36:2	severe	D60 - D0	-0.29240768724832567	0.08783986182413338	0.0032571292442810096	0.0088172831509439
CE 18:2	mild	D3 - D0	-1.165761082828543	0.3500971666862934	0.0032656604262755184	0.0088172831509439
PC 34:3	mild	D10 - D0	0.13659055865407538	0.04107927526523157	0.003317264310458423	0.008916085974716305
SM 42:3;O2	severe	D3 - D0	-0.10071056309303404	0.030529904290165336	0.00361410503248516	0.009670172924757591
DG 36:1	severe	D60 - D0	-0.7258813644023518	0.2204018165129907	0.0036610532025895814	0.009751863687615298
SM 38:1;O2	severe	D3 - D0	-0.11638135459554377	0.03537918077046508	0.003723476068859588	0.00983753850675134
TG 52:4	mild	D10 - D0	1.0183866215395987	0.309692820255368	0.0037263403434664166	0.00983753850675134
SM 40:3;O2	mild	D60 - D0	-0.8958558644312996	0.2741152972909622	0.00399006728275908	0.010487167990968554
CE 18:2	mild	D10 - D0	-1.14059914381874	0.3500971666862935	0.004123366304378262	0.010789777906610959
TG 50:1	mild	D10 - D0	0.8612625553469951	0.2645769075933787	0.004159370535505413	0.010836254816185156
